Timestamp,Timestamp (ISO 8601),Distance (cm),Fullness (%),Lid Status,CPU Temp (°C),current_fullness,fill_rate,hour,dayofweek
2025-11-25 09:47:07.649000+00:00,2025-11-25T09:47:07.649Z,16,41.0,CLOSED,53.33,5,44.6,9,1
2025-11-25 09:47:23.183000+00:00,2025-11-25T09:47:23.183Z,8,52.0,CLOSED,35.56,52,45.1,9,1
2025-11-25 09:47:37.956000+00:00,2025-11-25T09:47:37.956Z,8,52.0,CLOSED,36.67,52,45.6,9,1
2025-11-25 09:47:53.639000+00:00,2025-11-25T09:47:53.639Z,8,52.0,CLOSED,53.33,52,46.1,9,1
2025-11-25 09:48:09.595000+00:00,2025-11-25T09:48:09.595Z,8,52.0,CLOSED,53.33,52,46.6,9,1
2025-11-25 09:48:25.111000+00:00,2025-11-25T09:48:25.111Z,8,52.0,CLOSED,53.33,52,47.1,9,1
2025-11-25 09:48:39.525000+00:00,2025-11-25T09:48:39.525Z,8,52.0,CLOSED,53.33,52,47.6,9,1
2025-11-25 09:48:53.313000+00:00,2025-11-25T09:48:53.313Z,8,52.0,CLOSED,53.33,52,48.7,9,1
2025-11-25 09:49:08.230000+00:00,2025-11-25T09:49:08.230Z,8,52.0,CLOSED,53.33,52,49.8,9,1
2025-11-25 09:49:24.287000+00:00,2025-11-25T09:49:24.287Z,8,52.0,CLOSED,53.33,52,50.9,9,1
2025-11-25 09:49:40.192000+00:00,2025-11-25T09:49:40.192Z,8,52.0,CLOSED,53.33,52,51.5,9,1
2025-11-25 09:49:55.121000+00:00,2025-11-25T09:49:55.121Z,8,52.0,CLOSED,53.33,52,51.0,9,1
2025-11-25 09:50:08.502000+00:00,2025-11-25T09:50:08.502Z,8,52.0,CLOSED,53.33,52,50.5,9,1
2025-11-25 09:50:25.037000+00:00,2025-11-25T09:50:25.037Z,8,52.0,CLOSED,53.33,52,50.5,9,1
2025-11-25 09:50:38.991000+00:00,2025-11-25T09:50:38.991Z,8,52.0,CLOSED,53.33,52,50.5,9,1
2025-11-25 09:50:53.328000+00:00,2025-11-25T09:50:53.328Z,8,52.0,CLOSED,53.33,52,50.5,9,1
2025-11-25 09:51:10.407000+00:00,2025-11-25T09:51:10.407Z,8,52.0,CLOSED,53.33,52,50.5,9,1
2025-11-25 09:51:23.043000+00:00,2025-11-25T09:51:23.043Z,8,52.0,CLOSED,53.33,52,50.5,9,1
2025-11-25 09:51:40.232000+00:00,2025-11-25T09:51:40.232Z,8,52.0,CLOSED,53.33,52,50.5,9,1
2025-11-25 09:51:53.223000+00:00,2025-11-25T09:51:53.223Z,8,52.0,CLOSED,53.33,52,50.5,9,1
2025-11-25 09:52:07.977000+00:00,2025-11-25T09:52:07.977Z,8,52.0,CLOSED,53.33,52,51.0,9,1
2025-11-25 09:52:23.501000+00:00,2025-11-25T09:52:23.501Z,8,52.0,CLOSED,53.33,52,51.5,9,1
2025-11-25 09:52:38.139000+00:00,2025-11-25T09:52:38.139Z,8,52.0,CLOSED,53.33,52,52.0,9,1
2025-11-25 09:52:53.293000+00:00,2025-11-25T09:52:53.293Z,8,52.0,CLOSED,53.33,52,52.0,9,1
2025-11-25 09:53:08.092000+00:00,2025-11-25T09:53:08.092Z,8,52.0,CLOSED,53.33,52,48.5,9,1
2025-11-25 09:53:24.274000+00:00,2025-11-25T09:53:24.274Z,8,52.0,CLOSED,53.33,52,48.5,9,1
2025-11-25 09:53:38.221000+00:00,2025-11-25T09:53:38.221Z,8,52.0,CLOSED,36.67,52,48.5,9,1
2025-11-25 09:53:54.096000+00:00,2025-11-25T09:53:54.096Z,8,52.0,CLOSED,53.33,52,48.5,9,1
2025-11-25 09:54:10.041000+00:00,2025-11-25T09:54:10.041Z,8,52.0,CLOSED,36.11,52,48.5,9,1
2025-11-25 09:54:22.982000+00:00,2025-11-25T09:54:22.982Z,8,52.0,CLOSED,53.33,52,48.5,9,1
2025-11-25 09:54:38.212000+00:00,2025-11-25T09:54:38.212Z,8,52.0,CLOSED,53.33,52,48.5,9,1
2025-11-25 09:54:52.981000+00:00,2025-11-25T09:54:52.981Z,8,52.0,CLOSED,53.33,52,48.5,9,1
2025-11-25 09:55:09.995000+00:00,2025-11-25T09:55:09.995Z,8,52.0,CLOSED,53.33,52,48.5,9,1
2025-11-25 09:55:25.016000+00:00,2025-11-25T09:55:25.016Z,8,52.0,CLOSED,37.78,52,48.0,9,1
2025-11-25 09:55:41.150000+00:00,2025-11-25T09:55:41.150Z,8,52.0,CLOSED,53.33,52,51.0,9,1
2025-11-25 09:55:53.415000+00:00,2025-11-25T09:55:53.415Z,8,52.0,CLOSED,53.33,52,46.9,9,1
2025-11-25 09:56:08.104000+00:00,2025-11-25T09:56:08.104Z,8,52.0,CLOSED,53.33,52,39.9,9,1
2025-11-25 09:56:23.177000+00:00,2025-11-25T09:56:23.177Z,8,52.0,CLOSED,53.33,52,32.9,9,1
2025-11-25 09:56:39.039000+00:00,2025-11-25T09:56:39.039Z,8,52.0,CLOSED,53.33,52,25.9,9,1
2025-11-25 09:56:53.154000+00:00,2025-11-25T09:56:53.154Z,8,52.0,CLOSED,53.33,52,18.9,9,1
2025-11-25 09:57:10.702000+00:00,2025-11-25T09:57:10.702Z,8,52.0,CLOSED,53.33,52,11.9,9,1
2025-11-25 09:57:23.183000+00:00,2025-11-25T09:57:23.183Z,8,52.0,CLOSED,53.33,52,6.7,9,1
2025-11-25 09:57:39.904000+00:00,2025-11-25T09:57:39.904Z,8,52.0,CLOSED,53.33,52,1.5,9,1
2025-11-25 09:59:53.151000+00:00,2025-11-25T09:59:53.151Z,8,52.0,CLOSED,53.33,52,0.5,9,1
2025-11-25 10:00:09.753000+00:00,2025-11-25T10:00:09.753Z,8,52.0,CLOSED,53.33,52,1.0,10,1
2025-11-25 10:00:23.041000+00:00,2025-11-25T10:00:23.041Z,9,52.0,CLOSED,36.67,47,1.5,10,1
2025-11-25 10:00:40.315000+00:00,2025-11-25T10:00:40.315Z,8,52.0,CLOSED,53.33,52,2.0,10,1
2025-11-25 10:00:54.610000+00:00,2025-11-25T10:00:54.610Z,8,52.0,CLOSED,53.33,52,2.5,10,1
2025-11-25 10:01:09.866000+00:00,2025-11-25T10:01:09.866Z,9,52.0,CLOSED,37.78,47,3.0,10,1
2025-11-25 10:01:23.214000+00:00,2025-11-25T10:01:23.214Z,8,47.0,CLOSED,53.33,52,3.6,10,1
2025-11-25 10:01:40.648000+00:00,2025-11-25T10:01:40.648Z,9,47.0,CLOSED,37.22,47,4.2,10,1
2025-11-25 10:01:54.926000+00:00,2025-11-25T10:01:54.926Z,9,47.0,CLOSED,53.33,47,4.8,10,1
2025-11-25 10:02:08.220000+00:00,2025-11-25T10:02:08.220Z,9,47.0,CLOSED,53.33,47,5.4,10,1
2025-11-25 10:02:23.448000+00:00,2025-11-25T10:02:23.448Z,9,47.0,CLOSED,53.33,47,4.4,10,1
2025-11-25 10:02:38.068000+00:00,2025-11-25T10:02:38.068Z,9,47.0,CLOSED,53.33,47,3.4,10,1
2025-11-25 10:02:55.104000+00:00,2025-11-25T10:02:55.104Z,9,47.0,CLOSED,53.33,47,2.4,10,1
2025-11-25 10:03:08.314000+00:00,2025-11-25T10:03:08.314Z,9,47.0,CLOSED,53.33,47,1.4,10,1
2025-11-25 10:03:23.070000+00:00,2025-11-25T10:03:23.070Z,9,47.0,CLOSED,53.33,47,0.4,10,1
2025-11-25 10:38:23.742000+00:00,2025-11-25T10:38:23.742Z,3,76.0,CLOSED,53.33,82,3.4,10,1
2025-11-25 10:38:38.963000+00:00,2025-11-25T10:38:38.963Z,3,76.0,CLOSED,53.33,82,8.1,10,1
2025-11-25 10:38:55.145000+00:00,2025-11-25T10:38:55.145Z,4,82.0,CLOSED,53.33,76,13.4,10,1
2025-11-25 10:39:09.040000+00:00,2025-11-25T10:39:09.040Z,4,82.0,CLOSED,53.33,76,18.7,10,1
2025-11-25 10:39:25.918000+00:00,2025-11-25T10:39:25.918Z,3,82.0,CLOSED,36.67,82,24.0,10,1
2025-11-25 10:39:38.160000+00:00,2025-11-25T10:39:38.160Z,3,82.0,CLOSED,53.33,82,29.3,10,1
2025-11-25 10:39:53.555000+00:00,2025-11-25T10:39:53.555Z,3,82.0,CLOSED,36.67,82,34.6,10,1
2025-11-25 10:40:08.466000+00:00,2025-11-25T10:40:08.466Z,3,82.0,CLOSED,53.33,82,39.9,10,1
2025-11-25 10:40:23.295000+00:00,2025-11-25T10:40:23.295Z,3,82.0,CLOSED,53.33,82,45.2,10,1
2025-11-25 10:40:38.245000+00:00,2025-11-25T10:40:38.245Z,3,82.0,CLOSED,53.33,82,45.8,10,1
2025-11-25 10:40:54.224000+00:00,2025-11-25T10:40:54.224Z,3,82.0,CLOSED,53.33,82,46.4,10,1
2025-11-25 10:41:08.050000+00:00,2025-11-25T10:41:08.050Z,3,82.0,CLOSED,53.33,82,47.0,10,1
2025-11-25 10:41:24.256000+00:00,2025-11-25T10:41:24.256Z,3,82.0,CLOSED,53.33,82,47.0,10,1
2025-11-25 10:41:38.043000+00:00,2025-11-25T10:41:38.043Z,3,82.0,CLOSED,53.33,82,47.0,10,1
2025-11-25 10:41:53.242000+00:00,2025-11-25T10:41:53.242Z,3,82.0,CLOSED,53.33,82,47.0,10,1
2025-11-25 10:42:09.236000+00:00,2025-11-25T10:42:09.236Z,3,82.0,CLOSED,53.33,82,47.0,10,1
2025-11-25 10:42:25.002000+00:00,2025-11-25T10:42:25.002Z,3,82.0,CLOSED,53.33,82,47.0,10,1
2025-11-25 10:42:38.145000+00:00,2025-11-25T10:42:38.145Z,3,82.0,CLOSED,53.33,82,47.0,10,1
2025-11-25 10:42:53.525000+00:00,2025-11-25T10:42:53.525Z,3,82.0,CLOSED,53.33,82,47.0,10,1
2025-11-25 10:43:08.094000+00:00,2025-11-25T10:43:08.094Z,3,82.0,CLOSED,53.33,82,47.0,10,1
2025-11-25 10:43:25.278000+00:00,2025-11-25T10:43:25.278Z,3,82.0,CLOSED,53.33,82,47.0,10,1
2025-11-25 10:43:39.981000+00:00,2025-11-25T10:43:39.981Z,3,82.0,CLOSED,53.33,82,47.0,10,1
