Timestamp (ISO 8601),Distance (cm),Fullness (%),Lid Status,CPU Temp (°C)
2025-11-14T04:02:12.622Z,13,23,OPEN,53.33
2025-11-14T04:02:28.218Z,13,23,OPEN,53.33
2025-11-14T04:02:42.494Z,13,23,OPEN,53.33
2025-11-14T04:02:58.106Z,13,23,OPEN,53.33
2025-11-14T04:03:12.385Z,13,23,OPEN,53.33
2025-11-14T04:03:27.545Z,13,23,OPEN,53.33
2025-11-14T04:03:42.742Z,13,23,OPEN,53.33
2025-11-14T04:03:57.529Z,13,23,OPEN,53.33
2025-11-14T04:04:12.757Z,13,23,OPEN,53.33
2025-11-14T04:04:28.580Z,13,23,OPEN,36.67
2025-11-14T04:04:43.019Z,13,23,OPEN,53.33
2025-11-14T04:04:57.312Z,13,23,OPEN,36.67
2025-11-14T04:05:12.364Z,13,23,OPEN,53.33
2025-11-14T04:05:27.529Z,13,23,OPEN,53.33
2025-11-14T04:05:42.402Z,13,23,OPEN,53.33
2025-11-14T04:05:57.440Z,13,23,OPEN,53.33
2025-11-14T04:06:09.520Z,13,23,CLOSED,53.33
2025-11-14T04:06:25.712Z,13,23,CLOSED,53.33
2025-11-14T04:06:40.891Z,13,23,CLOSED,53.33
2025-11-14T04:06:55.539Z,13,23,CLOSED,53.33
2025-11-14T04:07:10.630Z,13,23,CLOSED,53.33
2025-11-14T04:07:25.839Z,13,23,CLOSED,53.33
2025-11-14T04:07:40.514Z,13,23,CLOSED,53.33
2025-11-14T04:07:55.526Z,13,23,CLOSED,53.33
2025-11-14T04:08:11.079Z,13,23,CLOSED,53.33
2025-11-14T04:08:25.471Z,13,23,CLOSED,53.33
2025-11-14T04:08:40.637Z,13,23,CLOSED,53.33
2025-11-14T04:08:55.773Z,13,23,CLOSED,53.33
2025-11-14T04:09:10.996Z,13,23,CLOSED,53.33
2025-11-14T04:09:25.646Z,13,23,CLOSED,53.33
2025-11-14T04:09:40.670Z,13,23,CLOSED,53.33
2025-11-14T04:09:55.664Z,13,23,CLOSED,53.33
2025-11-14T04:10:10.860Z,13,23,CLOSED,53.33
2025-11-14T04:10:25.568Z,13,23,CLOSED,53.33
2025-11-14T04:10:40.642Z,13,23,CLOSED,53.33
2025-11-14T04:10:55.533Z,13,23,CLOSED,53.33
2025-11-14T04:11:10.619Z,13,23,CLOSED,53.33
2025-11-14T04:11:25.825Z,13,23,CLOSED,36.11
2025-11-14T04:11:40.554Z,13,23,CLOSED,53.33
2025-11-14T04:11:55.469Z,13,23,CLOSED,53.33
2025-11-14T04:12:10.649Z,13,23,CLOSED,53.33
2025-11-14T04:12:25.996Z,13,23,CLOSED,53.33
2025-11-14T04:12:40.733Z,13,23,CLOSED,53.33
2025-11-14T04:12:55.694Z,13,23,CLOSED,53.33
2025-11-14T04:13:10.724Z,13,23,CLOSED,53.33
2025-11-14T04:13:25.645Z,13,23,CLOSED,53.33
2025-11-14T04:13:40.669Z,13,23,CLOSED,53.33
2025-11-14T04:13:56.985Z,13,23,CLOSED,53.33
2025-11-14T04:14:10.704Z,13,23,CLOSED,53.33
2025-11-14T04:14:25.977Z,13,23,CLOSED,53.33
2025-11-14T04:14:40.781Z,13,23,CLOSED,53.33
2025-11-14T04:14:55.658Z,13,23,CLOSED,53.33
2025-11-14T04:15:10.535Z,13,23,CLOSED,53.33
2025-11-14T04:15:26.190Z,13,23,CLOSED,53.33
2025-11-14T04:15:40.475Z,13,23,CLOSED,53.33
2025-11-14T04:15:55.895Z,13,23,CLOSED,53.33
2025-11-14T04:16:10.767Z,13,23,CLOSED,53.33
2025-11-14T04:16:25.717Z,13,23,CLOSED,53.33
2025-11-14T04:16:40.548Z,13,23,CLOSED,53.33
2025-11-14T04:16:55.691Z,13,23,CLOSED,53.33
2025-11-14T04:17:10.659Z,13,23,CLOSED,53.33
2025-11-14T04:17:25.646Z,13,23,CLOSED,53.33
2025-11-14T04:17:40.684Z,13,23,CLOSED,36.67
2025-11-14T04:17:56.068Z,13,23,CLOSED,53.33
2025-11-14T04:18:10.559Z,13,23,CLOSED,36.11
2025-11-14T04:18:25.876Z,13,23,CLOSED,53.33
2025-11-14T04:18:40.468Z,13,23,CLOSED,53.33
2025-11-14T04:18:55.746Z,13,23,CLOSED,53.33
2025-11-14T04:19:10.582Z,13,23,CLOSED,53.33
2025-11-14T04:19:25.539Z,13,23,CLOSED,53.33
2025-11-14T04:19:41.479Z,13,23,CLOSED,53.33
2025-11-14T04:19:55.611Z,13,23,CLOSED,53.33
2025-11-14T04:20:11.360Z,13,23,CLOSED,53.33
2025-11-14T04:20:25.760Z,13,23,CLOSED,53.33
2025-11-14T04:20:40.716Z,13,23,CLOSED,53.33
2025-11-14T04:20:55.364Z,13,23,CLOSED,53.33
2025-11-14T04:21:10.418Z,13,23,CLOSED,53.33
2025-11-14T04:21:26.176Z,13,23,CLOSED,53.33
2025-11-14T04:21:40.518Z,13,23,CLOSED,53.33
2025-11-14T04:21:55.611Z,13,23,CLOSED,53.33
2025-11-14T04:22:10.394Z,13,23,CLOSED,53.33
2025-11-14T04:22:25.388Z,13,23,CLOSED,53.33
2025-11-14T04:22:40.549Z,13,23,CLOSED,53.33
2025-11-14T04:22:55.752Z,13,23,CLOSED,53.33
2025-11-14T04:23:10.871Z,13,23,CLOSED,53.33
2025-11-14T04:23:25.591Z,13,23,CLOSED,53.33
2025-11-14T04:23:40.515Z,13,23,CLOSED,53.33
2025-11-14T04:23:55.889Z,13,23,CLOSED,53.33
2025-11-14T04:24:10.770Z,13,23,CLOSED,53.33
2025-11-14T04:24:25.616Z,13,23,CLOSED,36.67
2025-11-14T04:24:40.902Z,13,23,CLOSED,53.33
2025-11-14T04:24:55.639Z,13,23,CLOSED,53.33
2025-11-14T04:25:10.815Z,13,23,CLOSED,53.33
2025-11-14T04:25:25.541Z,13,23,CLOSED,53.33
2025-11-14T04:25:40.872Z,13,23,CLOSED,53.33
2025-11-14T04:25:55.553Z,13,23,CLOSED,53.33
2025-11-14T04:26:10.602Z,13,23,CLOSED,37.22
2025-11-14T04:26:25.464Z,13,23,CLOSED,53.33
2025-11-14T04:26:40.477Z,15,11,CLOSED,53.33
2025-11-14T04:26:55.587Z,13,23,CLOSED,37.22
2025-11-14T04:27:10.478Z,13,23,CLOSED,53.33
2025-11-14T04:27:26.004Z,15,11,CLOSED,53.33
2025-11-14T04:27:40.459Z,13,23,CLOSED,37.22
2025-11-14T04:28:10.859Z,15,11,CLOSED,53.33
2025-11-14T04:28:25.728Z,15,11,CLOSED,37.22
2025-11-14T04:28:40.439Z,15,11,CLOSED,53.33
2025-11-14T04:28:55.847Z,13,23,CLOSED,53.33
2025-11-14T04:28:57.973Z,13,23,CLOSED,53.33
2025-11-14T04:29:10.636Z,15,11,CLOSED,37.22
